Frame         Time          Elec          VdW           Nonbond       Total         
214           214           -311.735      -69.9581      -381.693      -381.693      
215           215           -310.138      -68.9493      -379.087      -379.087      
216           216           -299.284      -70.2068      -369.49       -369.49       
217           217           -303.238      -73.7349      -376.972      -376.972      
218           218           -313.072      -68.7695      -381.842      -381.842      
219           219           -323.568      -64.8286      -388.396      -388.396      
220           220           -308.584      -72.3325      -380.916      -380.916      
221           221           -310.194      -69.9409      -380.135      -380.135      
222           222           -314.657      -67.5081      -382.165      -382.165      
223           223           -296.125      -72.5033      -368.629      -368.629      
224           224           -313.985      -74.8346      -388.819      -388.819      
225           225           -308.711      -69.8392      -378.55       -378.55       
226           226           -314.289      -73.3738      -387.663      -387.663      
227           227           -328.016      -72.7291      -400.745      -400.745      
228           228           -314.05       -67.1328      -381.183      -381.183      
229           229           -312.251      -71.9135      -384.164      -384.164      
230           230           -299.884      -75.074       -374.958      -374.958      
231           231           -317.604      -71.2063      -388.811      -388.811      
232           232           -320.53       -67.4454      -387.975      -387.975      
233           233           -315.703      -67.0132      -382.716      -382.716      
234           234           -303.575      -70.8286      -374.404      -374.404      
235           235           -306.443      -65.1765      -371.62       -371.62       
236           236           -313.938      -66.306       -380.244      -380.244      
237           237           -313.34       -65.9779      -379.318      -379.318      
238           238           -298.786      -68.0025      -366.789      -366.789      
239           239           -306.255      -71.4779      -377.733      -377.733      
240           240           -302.281      -68.7301      -371.011      -371.011      
241           241           -301.535      -71.5131      -373.048      -373.048      
242           242           -301.864      -69.63        -371.494      -371.494      
243           243           -298.795      -65.1657      -363.96       -363.96       
244           244           -297.369      -66.7676      -364.137      -364.137      
245           245           -299.039      -71.2184      -370.257      -370.257      
246           246           -294.596      -68.6169      -363.213      -363.213      
247           247           -296.808      -69.2289      -366.037      -366.037      
248           248           -302.401      -71.8604      -374.262      -374.262      
249           249           -300.222      -73.5118      -373.734      -373.734      
250           250           -287.919      -65.7052      -353.624      -353.624      
251           251           -292.734      -71.3087      -364.043      -364.043      
252           252           -299.399      -68.4493      -367.848      -367.848      
253           253           -320.687      -70.8808      -391.568      -391.568      
254           254           -301.986      -72.6818      -374.668      -374.668      
255           255           -320.712      -66.4081      -387.12       -387.12       
256           256           -307.251      -71.2188      -378.47       -378.47       
257           257           -304.807      -66.6159      -371.423      -371.423      
258           258           -298.43       -68.6111      -367.041      -367.041      
259           259           -304.767      -73.6575      -378.424      -378.424      
260           260           -310.013      -69.5255      -379.538      -379.538      
261           261           -301.168      -72.0112      -373.179      -373.179      
262           262           -304.943      -69.9002      -374.843      -374.843      
263           263           -299.519      -68.1651      -367.685      -367.685      
264           264           -288.09       -68.9736      -357.063      -357.063      
265           265           -300.333      -70.6072      -370.94       -370.94       
266           266           -305.451      -69.1642      -374.615      -374.615      
267           267           -305.691      -71.7546      -377.445      -377.445      
268           268           -298.73       -72.9035      -371.633      -371.633      
269           269           -304.911      -69.5766      -374.487      -374.487      
270           270           -293.553      -71.4267      -364.98       -364.98       
271           271           -309.412      -71.7682      -381.18       -381.18       
272           272           -292.489      -70.2689      -362.758      -362.758      
273           273           -311.092      -66.6739      -377.766      -377.766      
274           274           -310.696      -69.1397      -379.835      -379.835      
275           275           -297.36       -68.8973      -366.257      -366.257      
276           276           -298.561      -71.476       -370.037      -370.037      
277           277           -311.82       -71.2335      -383.054      -383.054      
278           278           -299.161      -70.0814      -369.242      -369.242      
279           279           -310.15       -69.8853      -380.035      -380.035      
280           280           -303.672      -65.8781      -369.55       -369.55       
281           281           -295.592      -70.5129      -366.105      -366.105      
282           282           -307.384      -69.4512      -376.835      -376.835      
283           283           -310.111      -71.9813      -382.092      -382.092      
284           284           -307.633      -68.9458      -376.579      -376.579      
285           285           -303.565      -67.0875      -370.652      -370.652      
286           286           -320.132      -68.2922      -388.424      -388.424      
287           287           -305.269      -68.1131      -373.382      -373.382      
288           288           -312.076      -71.7953      -383.871      -383.871      
289           289           -316.949      -65.1578      -382.107      -382.107      
290           290           -303.952      -70.2027      -374.155      -374.155      
291           291           -304.36       -70.6446      -375.004      -375.004      
292           292           -304.415      -66.6969      -371.111      -371.111      
293           293           -310.232      -71.1088      -381.341      -381.341      
294           294           -304.028      -69.6821      -373.71       -373.71       
295           295           -304.589      -70.9972      -375.587      -375.587      
296           296           -317.46       -70.0999      -387.56       -387.56       
297           297           -315.695      -72.0785      -387.773      -387.773      
298           298           -307.941      -67.9209      -375.862      -375.862      
299           299           -310.864      -70.6481      -381.512      -381.512      
300           300           -298.271      -70.9047      -369.176      -369.176      
301           301           -309.988      -68.1948      -378.183      -378.183      
302           302           -317.887      -72.7837      -390.671      -390.671      
303           303           -303.618      -70.535       -374.153      -374.153      
304           304           -311.406      -70.1311      -381.538      -381.538      
305           305           -302.362      -71.4826      -373.845      -373.845      
306           306           -293.604      -72.8055      -366.409      -366.409      
307           307           -307.986      -71.3828      -379.369      -379.369      
308           308           -293.318      -69.0854      -362.404      -362.404      
309           309           -292.231      -72.4715      -364.703      -364.703      
310           310           -309.606      -69.945       -379.551      -379.551      
311           311           -303.297      -67.6834      -370.98       -370.98       
312           312           -307.733      -70.8829      -378.616      -378.616      
313           313           -303.663      -70.142       -373.805      -373.805      
314           314           -307.833      -65.013       -372.846      -372.846      
315           315           -302.459      -70.4406      -372.9        -372.9        
316           316           -305.334      -69.0131      -374.347      -374.347      
317           317           -304.786      -69.9762      -374.762      -374.762      
318           318           -310.156      -73.4749      -383.631      -383.631      
319           319           -300.205      -69.6725      -369.878      -369.878      
320           320           -306.104      -69.6166      -375.721      -375.721      
321           321           -317.784      -70.5552      -388.339      -388.339      
322           322           -313.917      -71.2853      -385.202      -385.202      
323           323           -302.197      -68.9554      -371.152      -371.152      
324           324           -300.95       -67.9757      -368.925      -368.925      
325           325           -316.081      -73.5936      -389.674      -389.674      
326           326           -303.144      -69.9231      -373.068      -373.068      
327           327           -303.147      -65.9624      -369.109      -369.109      
328           328           -309.894      -67.2241      -377.118      -377.118      
329           329           -297.919      -72.0317      -369.95       -369.95       
330           330           -301.435      -66.7429      -368.178      -368.178      
331           331           -300.524      -68.0098      -368.534      -368.534      
332           332           -302.62       -67.8378      -370.458      -370.458      
333           333           -290.998      -69.0073      -360.005      -360.005      
334           334           -300.897      -70.3547      -371.252      -371.252      
335           335           -309.456      -72.0797      -381.536      -381.536      
336           336           -305.596      -69.6729      -375.268      -375.268      
337           337           -300.918      -70.7884      -371.706      -371.706      
338           338           -310.336      -68.6983      -379.034      -379.034      
339           339           -307.248      -71.7121      -378.96       -378.96       
340           340           -307.529      -71.1585      -378.687      -378.687      
341           341           -307.467      -69.1015      -376.569      -376.569      
342           342           -308.81       -70.8261      -379.636      -379.636      
343           343           -307.287      -73.4966      -380.783      -380.783      
344           344           -318.533      -71.3327      -389.866      -389.866      
345           345           -301.152      -73.5812      -374.733      -374.733      
346           346           -313.335      -68.1102      -381.445      -381.445      
347           347           -312.933      -72.3337      -385.267      -385.267      
348           348           -320.972      -70.6081      -391.58       -391.58       
349           349           -301.633      -67.894       -369.527      -369.527      
350           350           -304.349      -70.1723      -374.521      -374.521      
351           351           -308.116      -72.1441      -380.26       -380.26       
352           352           -300.656      -63.4189      -364.075      -364.075      
353           353           -312.879      -71.9121      -384.791      -384.791      
354           354           -319.05       -74.3933      -393.444      -393.444      
355           355           -309.651      -74.6692      -384.321      -384.321      
356           356           -306.734      -73.6964      -380.43       -380.43       
357           357           -305.393      -74.2174      -379.61       -379.61       
358           358           -309.02       -71.567       -380.587      -380.587      
359           359           -298.964      -73.285       -372.249      -372.249      
360           360           -304.346      -69.8853      -374.231      -374.231      
361           361           -310.047      -70.4137      -380.461      -380.461      
362           362           -313.602      -70.4934      -384.095      -384.095      
363           363           -314.263      -65.4336      -379.697      -379.697      
364           364           -320.408      -72.4164      -392.824      -392.824      
365           365           -306.786      -72.2161      -379.002      -379.002      
366           366           -302.38       -73.424       -375.804      -375.804      
367           367           -316.055      -75.552       -391.607      -391.607      
368           368           -300.322      -71.4295      -371.751      -371.751      
369           369           -307.376      -71.9544      -379.331      -379.331      
370           370           -320.291      -75.0697      -395.361      -395.361      
371           371           -322.883      -70.0299      -392.913      -392.913      
372           372           -323.058      -71.4692      -394.527      -394.527      
373           373           -307.708      -73.1746      -380.883      -380.883      
374           374           -317.263      -75.1751      -392.438      -392.438      
375           375           -316.574      -71.1739      -387.748      -387.748      
376           376           -314.454      -70.4338      -384.888      -384.888      
377           377           -316.584      -75.6085      -392.192      -392.192      
378           378           -325.003      -68.1242      -393.128      -393.128      
379           379           -320.189      -69.5531      -389.742      -389.742      
380           380           -305.858      -68.7164      -374.575      -374.575      
381           381           -308.768      -71.5886      -380.357      -380.357      
382           382           -312.757      -69.4233      -382.18       -382.18       
383           383           -308.039      -69.989       -378.028      -378.028      
384           384           -310.66       -68.5107      -379.17       -379.17       
385           385           -303.32       -70.8812      -374.201      -374.201      
386           386           -292.592      -67.6581      -360.251      -360.251      
387           387           -304.361      -71.7459      -376.107      -376.107      
388           388           -299.349      -71.5536      -370.903      -370.903      
389           389           -295.395      -71.8152      -367.21       -367.21       
390           390           -302.309      -69.9497      -372.258      -372.258      
391           391           -313.215      -68.4329      -381.648      -381.648      
392           392           -307.956      -71.088       -379.044      -379.044      
393           393           -309.082      -69.6716      -378.754      -378.754      
394           394           -311.114      -67.8063      -378.92       -378.92       
395           395           -309.55       -71.3513      -380.901      -380.901      
396           396           -313.253      -65.6182      -378.871      -378.871      
397           397           -307.876      -65.4898      -373.366      -373.366      
398           398           -313.778      -70.1136      -383.892      -383.892      
399           399           -314.611      -71.477       -386.088      -386.088      
400           400           -306.092      -69.3718      -375.464      -375.464      
401           401           -310.676      -71.0106      -381.686      -381.686      
402           402           -312.746      -74.4169      -387.163      -387.163      
403           403           -319.561      -70.7955      -390.356      -390.356      
404           404           -310.302      -71.2839      -381.586      -381.586      
405           405           -317.225      -73.9678      -391.193      -391.193      
406           406           -322.625      -74.48        -397.105      -397.105      
407           407           -310.945      -71.9993      -382.944      -382.944      
408           408           -319.719      -72.2643      -391.983      -391.983      
409           409           -319.182      -67.9225      -387.104      -387.104      
410           410           -318.682      -72.7139      -391.396      -391.396      
411           411           -298.054      -68.3506      -366.405      -366.405      
412           412           -315.971      -69.0705      -385.042      -385.042      
413           413           -313.99       -72.256       -386.246      -386.246      
414           414           -316.007      -69.7904      -385.797      -385.797      
415           415           -318.737      -68.0929      -386.83       -386.83       
416           416           -300.528      -70.1279      -370.656      -370.656      
417           417           -314.086      -69.4355      -383.522      -383.522      
418           418           -318.515      -70.962       -389.477      -389.477      
419           419           -308.212      -68.6673      -376.879      -376.879      
420           420           -311.565      -69.3233      -380.888      -380.888      
421           421           -301.331      -75.2867      -376.617      -376.617      
422           422           -309.732      -64.4393      -374.172      -374.172      
423           423           -294.68       -64.2745      -358.955      -358.955      
424           424           -311.269      -71.5612      -382.83       -382.83       
425           425           -312.216      -67.4023      -379.618      -379.618      
426           426           -306.28       -66.4389      -372.719      -372.719      
427           427           -307.11       -73.1952      -380.305      -380.305      
428           428           -307.365      -75.1405      -382.505      -382.505      
429           429           -310.479      -72.099       -382.578      -382.578      
430           430           -298.461      -70.4162      -368.877      -368.877      
431           431           -304.75       -70.6028      -375.353      -375.353      
432           432           -297.576      -69.0297      -366.605      -366.605      
433           433           -310.567      -59.7941      -370.361      -370.361      
434           434           -299.315      -73.22        -372.535      -372.535      
435           435           -317.052      -73.6406      -390.693      -390.693      
436           436           -302.763      -71.7966      -374.56       -374.56       
437           437           -304.981      -72.6721      -377.653      -377.653      
438           438           -313.386      -64.8363      -378.222      -378.222      
439           439           -311.635      -76.1698      -387.805      -387.805      
440           440           -328.291      -66.9453      -395.237      -395.237      
441           441           -304.38       -67.9188      -372.298      -372.298      
442           442           -298.937      -69.3835      -368.321      -368.321      
443           443           -317.949      -71.5937      -389.542      -389.542      
444           444           -303.816      -68.7804      -372.596      -372.596      
445           445           -322.642      -66.5011      -389.143      -389.143      
446           446           -307.654      -66.2892      -373.943      -373.943      
447           447           -305.368      -69.7827      -375.15       -375.15       
448           448           -294.064      -73.529       -367.593      -367.593      
449           449           -297.522      -70.0761      -367.598      -367.598      
450           450           -303.885      -71.5924      -375.477      -375.477      
451           451           -295.444      -71.158       -366.602      -366.602      
452           452           -296.001      -70.3981      -366.399      -366.399      
453           453           -309.857      -73.1043      -382.961      -382.961      
454           454           -314.139      -69.9099      -384.048      -384.048      
455           455           -310.167      -73.779       -383.946      -383.946      
456           456           -302.798      -68.8422      -371.64       -371.64       
457           457           -298.971      -66.9088      -365.88       -365.88       
458           458           -307.967      -71.2111      -379.178      -379.178      
459           459           -301.234      -70.7642      -371.998      -371.998      
460           460           -298.71       -69.8181      -368.528      -368.528      
461           461           -297.93       -71.4038      -369.334      -369.334      
462           462           -292.101      -68.4201      -360.522      -360.522      
463           463           -314.4        -67.4284      -381.828      -381.828      
464           464           -304.401      -71.8249      -376.226      -376.226      
465           465           -292.829      -64.321       -357.15       -357.15       
466           466           -307.02       -71.8229      -378.843      -378.843      
467           467           -306.486      -70.7915      -377.277      -377.277      
468           468           -306.907      -69.5713      -376.478      -376.478      
469           469           -296.411      -69.8391      -366.25       -366.25       
470           470           -307.222      -69.7814      -377.003      -377.003      
471           471           -310.224      -70.2697      -380.493      -380.493      
472           472           -295.914      -71.4554      -367.369      -367.369      
473           473           -303.161      -68.4051      -371.566      -371.566      
474           474           -313.724      -65.8911      -379.615      -379.615      
475           475           -315.713      -71.5754      -387.289      -387.289      
476           476           -304.852      -67.8018      -372.654      -372.654      
477           477           -315.365      -63.2106      -378.576      -378.576      
478           478           -303.771      -72.8976      -376.669      -376.669      
479           479           -305.617      -68.474       -374.091      -374.091      
480           480           -298.463      -70.3827      -368.846      -368.846      
481           481           -311.47       -71.4573      -382.928      -382.928      
482           482           -308.264      -74.7607      -383.024      -383.024      
483           483           -301.565      -72.0215      -373.587      -373.587      
484           484           -310.425      -71.3923      -381.817      -381.817      
485           485           -300.527      -70.9092      -371.436      -371.436      
486           486           -306.206      -70.9732      -377.179      -377.179      
487           487           -308.685      -70.9171      -379.602      -379.602      
488           488           -305.661      -66.0681      -371.729      -371.729      
489           489           -304.282      -68.897       -373.179      -373.179      
490           490           -298.82       -64.6371      -363.457      -363.457      
491           491           -302.932      -69.5922      -372.524      -372.524      
492           492           -310.934      -70.6529      -381.587      -381.587      
493           493           -299.972      -75.4948      -375.467      -375.467      
494           494           -303.687      -70.3745      -374.061      -374.061      
495           495           -301.291      -70.726       -372.017      -372.017      
496           496           -300.032      -68.2273      -368.259      -368.259      
497           497           -314.154      -69.9371      -384.091      -384.091      
498           498           -318.563      -66.0708      -384.633      -384.633      
499           499           -311.253      -68.8556      -380.109      -380.109      
500           500           -326.655      -73.5484      -400.203      -400.203      
501           501           -311.378      -69.4551      -380.834      -380.834      
502           502           -320.349      -67.5314      -387.88       -387.88       
503           503           -312.003      -71.7516      -383.754      -383.754      
504           504           -305.09       -69.1571      -374.247      -374.247      
505           505           -322.903      -65.0763      -387.979      -387.979      
506           506           -314.205      -68.6612      -382.866      -382.866      
507           507           -315.816      -68.172       -383.988      -383.988      
508           508           -308.13       -73.531       -381.661      -381.661      
509           509           -314.941      -67.146       -382.087      -382.087      
510           510           -310.806      -63.1905      -373.996      -373.996      
511           511           -307.334      -67.5031      -374.837      -374.837      
512           512           -321.375      -68.2093      -389.585      -389.585      
513           513           -318.545      -65.0805      -383.625      -383.625      
514           514           -306.078      -72.6174      -378.695      -378.695      
515           515           -300.799      -70.4079      -371.207      -371.207      
516           516           -294.63       -66.5035      -361.134      -361.134      
517           517           -299.541      -69.4446      -368.986      -368.986      
518           518           -305.711      -72.9109      -378.622      -378.622      
519           519           -303.393      -69.3567      -372.75       -372.75       
520           520           -304.288      -75.425       -379.713      -379.713      
521           521           -298.485      -70.1498      -368.635      -368.635      
522           522           -299.728      -66.4916      -366.22       -366.22       
