Frame         Time          Elec          VdW           Nonbond       Total         
465           465           -124.942      -63.7754      -188.717      -188.717      
466           466           -139.017      -61.1096      -200.126      -200.126      
467           467           -131.15       -62.0601      -193.21       -193.21       
468           468           -118.028      -63.3475      -181.376      -181.376      
469           469           -119.357      -60.0606      -179.418      -179.418      
470           470           -125.468      -58.1639      -183.632      -183.632      
471           471           -104.069      -61.4623      -165.531      -165.531      
472           472           -107.603      -57.0251      -164.628      -164.628      
473           473           -132.754      -62.3175      -195.071      -195.071      
474           474           -103.931      -62.2829      -166.214      -166.214      
475           475           -95.0972      -59.3227      -154.42       -154.42       
476           476           -96.855       -61.2397      -158.095      -158.095      
477           477           -93.0895      -55.9372      -149.027      -149.027      
478           478           -98.8906      -56.4325      -155.323      -155.323      
479           479           -102.933      -61.8159      -164.749      -164.749      
480           480           -115.162      -55.9451      -171.107      -171.107      
481           481           -109.758      -57.4659      -167.224      -167.224      
482           482           -94.7047      -55.8303      -150.535      -150.535      
483           483           -119.929      -62.3456      -182.275      -182.275      
484           484           -108.666      -60.487       -169.153      -169.153      
485           485           -121.271      -61.6064      -182.877      -182.877      
486           486           -127.449      -59.4995      -186.948      -186.948      
487           487           -99.3294      -60.5985      -159.928      -159.928      
488           488           -102.326      -59.3426      -161.669      -161.669      
489           489           -105.276      -56.4229      -161.699      -161.699      
490           490           -121.703      -56.9607      -178.664      -178.664      
491           491           -135.173      -61.923       -197.096      -197.096      
492           492           -131.932      -58.0109      -189.943      -189.943      
493           493           -118.911      -60.7833      -179.695      -179.695      
494           494           -113.495      -58.4296      -171.925      -171.925      
495           495           -120.844      -60.107       -180.951      -180.951      
496           496           -112.687      -61.8826      -174.569      -174.569      
497           497           -118.381      -61.3293      -179.71       -179.71       
498           498           -119.395      -61.5174      -180.912      -180.912      
499           499           -132.461      -57.9531      -190.414      -190.414      
500           500           -109.246      -61.0236      -170.27       -170.27       
501           501           -133.561      -62.0057      -195.566      -195.566      
502           502           -120.05       -62.236       -182.286      -182.286      
503           503           -87.7934      -57.6967      -145.49       -145.49       
504           504           -101.472      -59.2469      -160.719      -160.719      
505           505           -100.341      -61.9333      -162.274      -162.274      
506           506           -122.154      -58.7606      -180.914      -180.914      
507           507           -106.975      -59.7347      -166.709      -166.709      
508           508           -91.413       -57.6906      -149.104      -149.104      
509           509           -88.1806      -56.1386      -144.319      -144.319      
510           510           -90.7012      -59.6402      -150.341      -150.341      
511           511           -118.852      -58.3709      -177.223      -177.223      
512           512           -102.558      -61.8521      -164.411      -164.411      
513           513           -93.6667      -55.8109      -149.478      -149.478      
514           514           -120.346      -57.8438      -178.19       -178.19       
515           515           -101.769      -55.6182      -157.387      -157.387      
516           516           -92.3567      -58.4101      -150.767      -150.767      
517           517           -97.9721      -51.4184      -149.391      -149.391      
518           518           -89.3319      -57.1806      -146.512      -146.512      
519           519           -96.4854      -54.2909      -150.776      -150.776      
520           520           -110.922      -57.3362      -168.258      -168.258      
521           521           -96.8771      -53.6586      -150.536      -150.536      
522           522           -110.937      -58.1636      -169.1        -169.1        
523           523           -101.475      -57.484       -158.959      -158.959      
524           524           -106.672      -58.5017      -165.174      -165.174      
525           525           -93.8157      -57.4411      -151.257      -151.257      
526           526           -122.061      -63.7768      -185.838      -185.838      
527           527           -97.6692      -54.0476      -151.717      -151.717      
528           528           -99.5219      -61.181       -160.703      -160.703      
529           529           -105.183      -58.7459      -163.929      -163.929      
530           530           -110.074      -60.2563      -170.331      -170.331      
531           531           -114.502      -58.1898      -172.691      -172.691      
532           532           -103.237      -59.4277      -162.665      -162.665      
533           533           -101.839      -61.6548      -163.494      -163.494      
